TotalToDos,TotalTasksAssigned,TotalTasksCompleted,TotalChecklistsAssigned,TotalChecklistsCompleted,TotalInfractions,TotalShiftSubmissionsCreated,TotalShiftSubmissionsCompleted,SetupsCreated,TotalBreaksRan,TotalCreatedPlays,TotalWastedItems,FirstWasteDate,TotalWastedItemsAllTime,TopPerformances,10PointRecognition,25PointRecognition,50PointRecognition,TotalRewardsRedeemed,TenantID,StoreName,StoreNumber,WasteOnly,CreationDate,State
24,1,1,21,1,0,1,0,5,0,11,0,2023-05-16 13:27:22,0,0,0,0,0,0,05XHmDXoe21dS3yremL9,Burleson,01417,false,2023-05-12 19:02:52,
2029,20,30,1613,613,176,109,62,318,298,31,14366,2023-01-20 14:48:29,28593,146,0,0,0,0,0GYBe9rfaN7D25FKVg1X,Paris FSU,04709,false,2023-01-11 20:26:23,TX
606,350,364,22,17,40,85,26,209,233,20,8320,2023-01-19 11:37:37,12685,31,9,20,5,0,0ywwOH3YB9F4STc2fBQf,Crossroads Center,03513,false,2023-01-19 15:27:57,MN
2525,137,148,1667,1166,277,359,274,200,533,20,2492,2023-01-11 10:01:03,4753,456,104,20,35,34,1CSWDZE9P1RVE8X5WTA6,Keller,03226,false,2023-01-01 04:00:03,TX
2,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1RSYFyV6f7kuZviTnyWq,Delafield FSR,04291,false,2023-03-16 16:48:30,
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1VL6S6GlmB56VBxSKgGq,Gates of Prosper,03893,false,2023-01-16 16:13:17,TX
0,0,0,0,0,0,0,0,0,0,0,7919,2023-03-08 16:44:44,13275,0,0,0,0,0,21kMphwo3aLdZe7b23bE,Westfield Wheeler Landing,04673,true,2023-03-08 19:55:18,
704,130,157,529,318,23,15,1,193,133,4,4,2023-01-23 15:28:53,73,1,7,4,2,17,3VU2OUY792VZ5QW4C3DI,Danbury Fair Mall,03549,false,2022-12-31 23:27:18,CT
0,0,0,0,0,0,0,0,0,0,0,1447,2023-04-18 15:49:15,1447,0,0,0,0,0,41t6uV6eoVIcdLReONRb,Chick-fil-A Monroe,02140,true,2023-04-18 19:36:36,
548,250,263,229,120,15,39,14,580,1325,30,9371.549999952316,2023-01-20 13:59:57,28323.87999996543,30,77,43,90,0,4H4jbJFufbvnJHluxKI9,Nona,04300,false,2023-01-20 18:23:21,FL
79,19,25,20,19,5,16,14,24,101,5,92,2023-05-04 00:09:56,83,14,0,0,0,0,4YTuCpU7ufAl8SljHI3T,One Bellevue,04384,false,2023-05-03 23:59:25,
566,101,131,397,322,14,0,0,0,0,0,,2023-02-22 10:58:22,29,0,10,2,23,2,5JGvTJB1KBjlvQDMlWdn,Ridge Road ,01242,false,2023-01-19 16:55:18,TX
18,13,18,0,0,7,0,0,0,0,0,0,2023-02-15 22:44:54,0,0,0,0,0,0,5JSE6JGECW2LECBGJ8J2,Topanga & Roscoe,03672,false,2023-01-01 01:14:59,CA
15,0,0,4,1,0,4,0,1,4,0,3151,2023-04-05 19:25:23,3151,0,0,0,0,0,6avF0c13dF6wAsxzn9j6,Triangle Town Center Mall,01466,false,2023-03-29 22:04:47,
494,1,1,162,80,0,155,57,3,0,37,,2023-01-09 17:21:58,52,148,3,0,0,1,6FFkOlxyQ5ukTlW3IqDt,Western Center Blvd,04282,false,2023-01-09 23:06:30,TX
0,0,0,0,0,0,0,0,0,0,0,10237.629997089505,2023-01-23 22:18:32,20932.579995423555,0,0,0,0,0,6g6SubhbTAoHOyJd4iTk,Maple & Ridge,03952,false,2023-01-18 15:49:50,KS
4339,1875,1908,2039,1576,81,198,127,497,1731,76,3,2023-01-30 11:04:03,558,231,976,915,909,57,6Kth8oHyT35ajXtL1oxi,Atlantic & Hodges,01139,false,2023-01-25 21:52:18,FL
174,27,27,105,37,3,16,6,7,7,6,21,2023-05-09 12:17:57,21,6,10,1,2,0,6ZN9y1I0pek3rIlSfC1L,Brandywine FSU,02456,false,2023-05-09 15:18:23,
270,16,16,153,99,77,16,3,0,42,0,463,2023-02-12 20:36:23,832,4,72,36,11,0,73gUGz3On85SQiUsE7Rh,Marrero,04357,false,2023-02-13 00:48:24,LA
2735,297,306,1912,1585,75,210,156,258,411,41,9669,2023-04-11 14:21:35,9669,157,10,13,8,1,7EbfosJSDdfXcnsXsd1P,West End,03621,false,2023-04-03 18:20:59,
429,52,52,155,128,105,83,53,25,6,9,3341,2023-03-24 17:13:11,3351,54,37,7,33,1,7JQJIk5BhkvZ1M6U0LOw,Chickfila Gause,02787,false,2023-03-24 20:28:41,
2103,493,496,1126,803,74,179,112,353,1843,1,11211,2023-03-30 09:38:19,11275,114,19,1,0,0,7OE7D6LoqztrbcmQH7Gb,Calera FSU,03934,false,2023-03-01 15:40:41,
525,502,505,2,0,91,0,0,0,2,0,2781,2023-03-23 10:58:24,2787,0,24,16,5,0,87P8gd2bhFvEc60D6MqK,Southeast Decatur,04084,false,2023-03-14 21:18:55,
4,0,4,0,0,1,0,0,6,10,0,8006,2023-03-28 10:01:27,8065,0,0,0,0,0,8EbYfRWhW3b4diDjqaWz,Commack,03567,false,2023-03-22 14:50:19,
0,0,0,0,0,0,0,0,0,0,0,,2023-03-09 21:25:54,34,0,0,0,0,0,9ICpwGRccIwGih5hhZHE,Chantilly Shopping Center,03316,false,2023-03-09 16:41:11,
0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9sSVDBYozBAnB0YUrpNt,Chick-fil-A Ennis,04216,false,2023-04-26 01:13:34,
731,147,155,540,244,20,45,9,150,471,31,659,2023-05-05 20:27:55,659,9,3,0,0,0,9vf6PKpU3dkZ9aPYA2Ik,Phenix City,01815,false,2023-05-05 17:55:52,
4,2,2,2,1,0,0,0,1,2,0,28,2023-05-17 14:46:24,28,0,0,0,0,0,9z12MZAJIVqbx77GUB9L,Marbach at 410,03056,false,2023-05-05 17:22:35,
595,65,91,503,164,34,0,0,229,905,8,2396,2023-01-19 14:38:21,4919,0,1,0,0,0,a8pm3FLzHF1AB1B00x8J,Frisco Lakes,03754,false,2023-01-06 20:53:05,TX
0,0,0,0,0,0,0,0,0,0,0,,2023-01-06 15:49:44,4,0,0,0,0,0,AM0KVWHKRU33MEAOJQ4F,Prince Frederick FSU,04016,false,2023-01-01 02:27:57,MD
